ChEMBL ID,Name,SMILES
CHEMBL1742452,SETASTINE,CC(OCCN1CCCCCC1)(c1ccccc1)c1ccc(Cl)cc1
CHEMBL61733,PMEDAP,Nc1nc(N)c2ncn(CCOCP(=O)(O)O)c2n1
CHEMBL1778416,ARUNCIDE C,CC(C)=C[C@H]1O[C@@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2C(=O)O[C@@H]21
CHEMBL2106853,MECIADANOL,CO[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1
CHEMBL513088,DICHOTOMINE D,CCCCOC(=O)c1cc2c([nH]c3ccccc32)c([C@@H](O)CO)n1
CHEMBL1192539,NAPACTADINE,C/N=C(/Cc1ccc2ccccc2c1)NC
CHEMBL2104682,NEBRACETAM,NCC1CC(=O)N(Cc2ccccc2)C1
CHEMBL462972,EDGEWORTHIN,O=c1ccc2ccc(Oc3cc4cc(O)c(O)cc4oc3=O)cc2o1
CHEMBL2040594,DALDINOL,COc1cccc2c(-c3ccc(O)c4c(OC)cccc34)ccc(O)c12
CHEMBL2087163,RUBROSTERONE,C[C@]12C[C@H](O)[C@H](O)C[C@H]1C(=O)C=C1[C@@H]2CC[C@]2(C)C(=O)CC[C@@]12O
CHEMBL2165592,FILLALBIN,COc1cc(C(=O)OC2CC3CCC(C2)N3C)ccc1O
CHEMBL512938,BARCELONEIC ACID A,COc1cc(O)c(Oc2cc(C)cc(O)c2C(=O)O)c(CO)c1
CHEMBL1233389,HOMOPHENYLALANINE,N[C@@H](CCc1ccccc1)C(=O)O
CHEMBL350209,HYDROGEN (TRIMETHYLAMMONIO)METHYLPHOSPHONATE,C[N+](C)(C)CP(=O)([O-])O
CHEMBL2164950,UNCINOSIDE A,Cc1cc(=O)c2c(O)c(C)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(C)c2o1
CHEMBL2164974,FLUOSTATINS C,C[C@]12O[C@H]1[C@H](O)c1c(cc(O)c3c1C(=O)c1cccc(O)c1-3)C2=O
CHEMBL2333550,MADOLIN T,CC(=O)OC[C@]1(C)[C@@H]2/C=C(/C=O)CC/C=C(\C)CC[C@H]21
CHEMBL2333388,AQUILARABIETIC ACID K,C[C@]12CCC[C@@](C)(C(=O)O)[C@@H]1CC(=O)C1CC(=O)CC[C@@H]12
CHEMBL453905,BROMOXYNIL,N#Cc1cc(Br)c(O)c(Br)c1
CHEMBL2047365,TEHUANINE F,C[C@]12C[C@H](c3ccoc3)OC(=O)[C@@H]1[C@H](O)C[C@@]13COC(=O)C1=CC[C@H]1O[C@]132
CHEMBL2047548,OIDIOPERAZINE D,C=C1NC(=O)C(Cc2c[nH]c3ccccc23)(OC)N(OC)C1=O
CHEMBL2272973,FLUROCHLORIDONE,O=C1C(Cl)C(CCl)CN1c1cccc(C(F)(F)F)c1
CHEMBL507092,MARCOPHAN,CC1SCCN1P(=O)(N1CC1)N1CC1
CHEMBL2106149,CLORPRENALINE HYDROCHLORIDE,CC(C)NCC(O)c1ccccc1Cl.Cl
CHEMBL1684478,TYROSCHERIN 14,CC[C@H](C)C[C@@H](C)/C=C/CC[C@@H](O)[C@H](Cc1ccc(O)cc1)NC
CHEMBL2036279,MONOSPORASCONE,COc1cc(O)c2c(c1)C(=O)c1cocc1C2=O
CHEMBL609099,"N,N-DIMETHYLETHANAMINIUM",CCN(C)C
CHEMBL360803,PI-CLONIDINE,Clc1cc(I)cc(Cl)c1N=C1NCCN1
CHEMBL513705,ARISTOLIGNIN,COc1cc([C@H]2O[C@@H](c3ccc(OC)c(OC)c3)[C@@H](C)[C@@H]2C)ccc1O
CHEMBL455356,PELLOTINE HYDROCHLORIDE,COc1cc2c(c(O)c1OC)[C@H](C)N(C)CC2.Cl
CHEMBL522744,9-O-METHYL-10-HYDROXYCOCCINEONE B,COc1cc2oc3c(c(=O)c2c(O)c1O)-c1ccccc1OC3O
CHEMBL1354529,VIOLASTYRENE,COc1cc(C/C=C/c2ccccc2)c(OC)cc1O
CHEMBL1985503,MEPIROXOL,[O-][n+]1cccc(CO)c1
CHEMBL1945274,N'-(4-METHYLBENZYLIDENE)ISONICOTINOHYDRAZIDE,Cc1ccc(/C=N/NC(=O)c2ccncc2)cc1
CHEMBL386816,SALINIKETAL A,C/C(=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@@H]1O[C@@]2(C)CC[C@@H](O2)[C@H]1C)C(N)=O
CHEMBL252722,ROBUSTONE,CC1(C)C=Cc2c(cc3occ(-c4ccc5c(c4)OCO5)c(=O)c3c2O)O1
CHEMBL389270,ISOLAURELINE,COc1ccc2c(c1)C[C@H]1c3c(cc4c(c3-2)OCO4)CCN1C
CHEMBL502206,LACHNONE C,C[C@]1([C@@H]2CCC(=O)O2)CC(=O)c2c(O)cc(CO)cc2O1
CHEMBL2021471,DURUMHEMIKETALOLIDE B,C=C1C(=O)O[C@H]2C[C@H]1[C@]1(O)C/C(C)=C/CC/C(C)=C/CC[C@@]2(COC(C)=O)O1
CHEMBL1258,CARBAMAZEPINE EPOXIDE,NC(=O)N1c2ccccc2C2OC2c2ccccc21
CHEMBL482833,ERIVANIN,C=C1[C@H](O)C[C@H](O)[C@]2(C)CC[C@@H]3[C@H](OC(=O)[C@H]3C)[C@@H]12
CHEMBL381948,GW680975X,Fc1ccc(-c2cc(-c3c[nH]nc3-c3ccccn3)ccn2)cc1
CHEMBL562718,INDANOCINE,COc1cc2c(c(N)c1OC)C(=O)/C(=C\c1cc(C)c(O)c(C)c1)C2
CHEMBL174035,DEHYDROASCORBIC ACID,O=C1OC(C(O)CO)C(=O)C1=O
CHEMBL2336352,N-BENZYLCINNAMAMIDE,O=C(/C=C/c1ccccc1)NCc1ccccc1
CHEMBL520282,DEHYDROALTENUENE A,COc1cc(O)c2c(c1)C1=CC(=O)[C@H](O)C[C@]1(C)OC2=O
CHEMBL31159,ETHYLNOREPINEPHRINE,CCC(N)C(O)c1ccc(O)c(O)c1
CHEMBL520014,DEHYDROCURVULARIN,C[C@H]1CCC/C=C/C(=O)c2c(O)cc(O)cc2CC(=O)O1
CHEMBL261243,ONITIN,Cc1c(O)c2c(c(C)c1CCO)C(=O)C(C)(C)C2
CHEMBL255494,METHOXY CLAVIGERIN C,CO[C@H]1O[C@@H]2C=C(C)[C@H]3C[C@@H]2[C@@]13CC(=O)CC(C)C
CHEMBL390742,TROPARIL,COC(=O)[C@H]1[C@@H](c2ccccc2)C[C@@H]2CC[C@H]1N2C
CHEMBL3039097,"18-AMINOABIETA-8,11,13-TRIENE SULFATE",CC(C)c1ccc2c(c1)CCC1[C@](C)(CN)CCC[C@]21C.O=S(=O)(O)O
CHEMBL3039109,"3,4-DIHYDROXYCARANE",CC1(O)CC2C(CC1O)C2(C)C
CHEMBL3039234,FISETINIDOL,Oc1ccc2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2
CHEMBL2442537,[18F]FLUORORASAGILINE-D2,[2H]C([2H])(C#C)N[C@@H]1c2ccccc2C[C@H]1[18F]
CHEMBL5314489,TAPLUCAINIUM CHLORIDE,Cc1cccc(C)c1NC(=O)C[N+]1(Cc2ccccc2)CCCCCC1.[Cl-]
CHEMBL2001361,ISOPEREZONE,CC(C)=CCC[C@@H](C)C1=CC(=O)C(C)=C(O)C1=O
CHEMBL1981977,N-(2-CHLOROPHENYL)CINNAMAMIDE,O=C(/C=C/c1ccccc1)Nc1ccccc1Cl
CHEMBL2251613,ETHYL ISONICOTINATE,CCOC(=O)c1ccncc1
CHEMBL2251627,ISOTRICHOTRIOL,CC1=CC(O)[C@@](C)([C@@]2(C)C[C@@H](O)[C@@H](O)C23CO3)CC1
CHEMBL2253467,2-Butyl-D-DIBOA,CCCCC1Oc2ccccc2N(O)C1=O
CHEMBL2110923,TOFENACIN,CNCCOC(c1ccccc1)c1ccccc1C
CHEMBL1235764,RIBAVIRIN MONOPHOSPHATE,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)n1
CHEMBL287868,AZAPROPHEN,CN1CC2CC(OC(=O)C(C)(c3ccccc3)c3ccccc3)CC1C2
CHEMBL32339,"4,2',4',6'-TETRAMETHOXYCHALCONE",COc1ccc(/C=C/C(=O)c2c(OC)cc(OC)cc2OC)cc1
CHEMBL309036,PHENYLISOTHIOCYANATE,S=C=Nc1ccccc1
CHEMBL2253495,"L-LYSINE-2,4-DICHLOROPHENOXYACETIC ACID",N[C@@H](CCCCNC(=O)COc1ccc(Cl)cc1Cl)C(=O)O
CHEMBL2253496,L-LYSINE-2-METHYL-4-CHLOROROPHENOXYACETIC ACID,Cc1cc(Cl)ccc1OCC(=O)NCCCC[C@H](N)C(=O)O
CHEMBL2229452,PENCYCURON,O=C(Nc1ccccc1)N(Cc1ccc(Cl)cc1)C1CCCC1
CHEMBL2253170,METOMINOSTROBIN,CNC(=O)/C(=N/OC)c1ccccc1Oc1ccccc1
CHEMBL536282,NEPICASTAT HYDROCHLORIDE,Cl.NCc1c[nH]c(=S)n1[C@H]1CCc2c(F)cc(F)cc2C1
CHEMBL407391,DIMETHYLADENINE,CN(C)c1ncnc2nc[nH]c12
CHEMBL228121,DIHYDROFERULIC ACID ETHYL ESTER,CCOC(=O)CCc1ccc(O)c(OC)c1
