Chemical Name,SMILES,Binding
Methyl-beta-D-glucopyranoside hemihydrate,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)C(OC)O1,No
Aucubin,O1[C@H]([C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O)O[C@@H]2OC=C[C@@H]3[C@H]2C(=C[C@H]3O)CO,No
Chloralose,ClC(Cl)(Cl)[C@H]1O[C@H]2O[C@@H]([C@@H]([C@H]2O1)O)[C@H](O)CO,No
1-Amino-1-deoxy-D-Fructose hydrochloride,C([C@@H]1[C@H]([C@@H](C(O1)(CN)O)O)O)O,No
"1,2-O-Isopropylidene-alpha-D-xylofuranose",CC1(O[C@@H]2[C@H]([C@H](O[C@@H]2O1)CO)O)C,No
D-Mannosamine hydrochloride,Cl.N[C@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O,No
D-(+)-Glucosamine hydrochloride,Cl.N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O,No
D-(+)-Galactosamine hydrochloride,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)N)O)O)O,No
Glycerol,OC(CO)CO,No
D-Mannoheptulose,OCC(O1)(O)[C@@H](O)[C@@H](O)[C@H](O)[C@H]1CO,No
Catalpol,O1[C@H]([C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O)O[C@@H]2OC=C[C@@H]3[C@H]2[C@]4(O[C@H]4[C@H]3O)CO,No
Sedoheptulose anhydride monohydrate,O1[C@]2(OC[C@@H]1[C@H]([C@H]([C@@H]2O)O)O)CO.O,No
"D-Xylono-1,4-lactone",O1[C@@H]([C@@H]([C@H](C1=O)O)O)CO,No
"D-Arabino-1,4-lactone",O1[C@@H]([C@H]([C@@H](C1=O)O)O)CO,No
Gluconolactone,O1[C@@H]([C@H]([C@@H]([C@H](C1=O)O)O)O)CO,No
DL-Dithiothreitol,SC[C@@H](O)[C@H](O)CS,No
"1,4-Dithioerythritol",SC[C@H](O)[C@H](O)CS,No
L-(-)-Dithiothreitol,SC[C@H](O)[C@@H](O)CS,No
Lactulose,O1[C@@]([C@H]([C@@H]([C@H]1CO)O[C@@H]2O[C@@H]([C@@H]([C@@H]([C@H]2O)O)O)CO)O)(O)CO,No
3-O-Methyl-D-glucopyranose,O[C@@H]1[C@H](OC([C@@H]([C@H]1OC)O)O)CO,No
L-(-)-Glucose,C([C@H]1[C@@H]([C@H]([C@@H](C(O1)O)O)O)O)O,No
L-(+)-Gulose,O1[C@H]([C@H]([C@@H]([C@@H](C1O)O)O)O)CO,No
D-(+)-Talose,O1[C@@H]([C@@H]([C@@H]([C@@H](C1O)O)O)O)CO,No
